Namespace(augment=False, batchSize=32, beta1=0.5, cuda=True, data='lung', decay_lr=False, dropout=0.5, earlystop=False, experiment='sb37', imgSize=299, init='normal', lr=0.001, metadata=False, method='average', model='', nc=3, ngpu=1, niter=25, nonlinearity='relu', optimizer='Adam')

old comet version (0.1.68) detected. current: 1.0.10 please update your comet lib with command: `pip install --no-cache-dir --upgrade comet_ml`

Experiment is live on comet.ml https://www.comet.ml/charrrrtreuse/general/30070a2e0f964a85af9689ab1d61bcf7

Random Seed:  5033
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading train dataset: 461823 samples
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading valid dataset: 105872 samples
Class encoding:
{'Solid_Tissue_Normal': 0, 'TCGA-LUAD': 1, 'TCGA-LUSC': 2}
cancer_CNN (
  (conv1): BasicConv2d (
    (conv): Conv2d(3, 16, kernel_size=(5, 5), stride=(2, 2), padding=(1, 1))
    (bn): BatchNorm2d(16, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv2): BasicConv2d (
    (conv): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
    (bn): BatchNorm2d(32, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv3): BasicConv2d (
    (conv): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv4): BasicConv2d (
    (conv): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv5): BasicConv2d (
    (conv): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(128, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv6): BasicConv2d (
    (conv): Conv2d(128, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (linear): Linear (5184 -> 3)
)
No early stopping implemented
[0/25][8546/14432] Training Loss: 0.670746 
[0/25][8547/14432] Training Loss: 0.672466 
[0/25][8548/14432] Training Loss: 0.777761 
[0/25][8549/14432] Training Loss: 0.649232 
[0/25][8550/14432] Training Loss: 0.719392 
[0/25][8551/14432] Training Loss: 0.658674 
[0/25][8552/14432] Training Loss: 0.960143 
[0/25][8553/14432] Training Loss: 0.623587 
[0/25][8554/14432] Training Loss: 0.744219 
[0/25][8555/14432] Training Loss: 0.827387 
[0/25][8556/14432] Training Loss: 0.843933 
[0/25][8557/14432] Training Loss: 0.655529 
[0/25][8558/14432] Training Loss: 0.835990 
[0/25][8559/14432] Training Loss: 0.910138 
[0/25][8560/14432] Training Loss: 0.715571 
[0/25][8561/14432] Training Loss: 0.683871 
[0/25][8562/14432] Training Loss: 0.637775 
[0/25][8563/14432] Training Loss: 0.720609 
[0/25][8564/14432] Training Loss: 0.798543 
[0/25][8565/14432] Training Loss: 0.679141 
[0/25][8566/14432] Training Loss: 0.677884 
[0/25][8567/14432] Training Loss: 0.680823 
[0/25][8568/14432] Training Loss: 0.765901 
[0/25][8569/14432] Training Loss: 0.763090 
[0/25][8570/14432] Training Loss: 0.709338 
[0/25][8571/14432] Training Loss: 0.778239 
[0/25][8572/14432] Training Loss: 0.922726 
[0/25][8573/14432] Training Loss: 0.705343 
[0/25][8574/14432] Training Loss: 0.792080 
[0/25][8575/14432] Training Loss: 0.728374 
[0/25][8576/14432] Training Loss: 0.717866 
[0/25][8577/14432] Training Loss: 0.654304 
[0/25][8578/14432] Training Loss: 0.725305 
[0/25][8579/14432] Training Loss: 0.785847 
[0/25][8580/14432] Training Loss: 0.656929 
[0/25][8581/14432] Training Loss: 0.770999 
[0/25][8582/14432] Training Loss: 0.685953 
[0/25][8583/14432] Training Loss: 0.772220 
[0/25][8584/14432] Training Loss: 0.659357 
[0/25][8585/14432] Training Loss: 0.866693 
[0/25][8586/14432] Training Loss: 0.675074 
[0/25][8587/14432] Training Loss: 0.601023 
[0/25][8588/14432] Training Loss: 0.831435 
[0/25][8589/14432] Training Loss: 0.649696 
[0/25][8590/14432] Training Loss: 0.760593 
[0/25][8591/14432] Training Loss: 1.085557 
[0/25][8592/14432] Training Loss: 0.877544 
[0/25][8593/14432] Training Loss: 0.615506 
[0/25][8594/14432] Training Loss: 0.831558 
[0/25][8595/14432] Training Loss: 0.826584 
[0/25][8596/14432] Training Loss: 0.733571 
[0/25][8597/14432] Training Loss: 0.706390 
[0/25][8598/14432] Training Loss: 0.634976 
[0/25][8599/14432] Training Loss: 0.686735 
[0/25][8600/14432] Training Loss: 0.674676 
[0/25][8601/14432] Training Loss: 0.679093 
[0/25][8602/14432] Training Loss: 0.803919 
[0/25][8603/14432] Training Loss: 0.835387 
[0/25][8604/14432] Training Loss: 0.665891 
[0/25][8605/14432] Training Loss: 0.603192 
[0/25][8606/14432] Training Loss: 0.680644 
[0/25][8607/14432] Training Loss: 0.666655 
[0/25][8608/14432] Training Loss: 0.855207 
[0/25][8609/14432] Training Loss: 0.731954 
[0/25][8610/14432] Training Loss: 0.917095 
[0/25][8611/14432] Training Loss: 0.671436 
[0/25][8612/14432] Training Loss: 0.623646 
[0/25][8613/14432] Training Loss: 0.917064 
[0/25][8614/14432] Training Loss: 0.827097 
[0/25][8615/14432] Training Loss: 0.714475 
[0/25][8616/14432] Training Loss: 0.754344 
[0/25][8617/14432] Training Loss: 0.735820 
[0/25][8618/14432] Training Loss: 0.826689 
[0/25][8619/14432] Training Loss: 0.715281 
[0/25][8620/14432] Training Loss: 0.784848 
[0/25][8621/14432] Training Loss: 1.018780 
[0/25][8622/14432] Training Loss: 0.833113 
[0/25][8623/14432] Training Loss: 0.800333 
[0/25][8624/14432] Training Loss: 0.930962 
[0/25][8625/14432] Training Loss: 0.804374 
[0/25][8626/14432] Training Loss: 0.750155 
[0/25][8627/14432] Training Loss: 0.832446 
[0/25][8628/14432] Training Loss: 0.641006 
[0/25][8629/14432] Training Loss: 0.874444 
[0/25][8630/14432] Training Loss: 0.878441 
[0/25][8631/14432] Training Loss: 0.681128 
[0/25][8632/14432] Training Loss: 0.690719 
[0/25][8633/14432] Training Loss: 0.705368 
[0/25][8634/14432] Training Loss: 0.797081 
[0/25][8635/14432] Training Loss: 0.782388 
[0/25][8636/14432] Training Loss: 0.736721 
[0/25][8637/14432] Training Loss: 0.879467 
[0/25][8638/14432] Training Loss: 0.666477 
[0/25][8639/14432] Training Loss: 0.804431 
[0/25][8640/14432] Training Loss: 0.695219 
[0/25][8641/14432] Training Loss: 0.925899 
[0/25][8642/14432] Training Loss: 0.547678 
[0/25][8643/14432] Training Loss: 0.793894 
[0/25][8644/14432] Training Loss: 0.631654 
[0/25][8645/14432] Training Loss: 0.700793 
[0/25][8646/14432] Training Loss: 0.708254 
[0/25][8647/14432] Training Loss: 0.660864 
[0/25][8648/14432] Training Loss: 0.693285 
[0/25][8649/14432] Training Loss: 0.769123 
[0/25][8650/14432] Training Loss: 1.157589 
[0/25][8651/14432] Training Loss: 0.777755 
[0/25][8652/14432] Training Loss: 0.862584 
[0/25][8653/14432] Training Loss: 0.648958 
[0/25][8654/14432] Training Loss: 0.798000 
[0/25][8655/14432] Training Loss: 0.974358 
[0/25][8656/14432] Training Loss: 0.792446 
[0/25][8657/14432] Training Loss: 0.832329 
[0/25][8658/14432] Training Loss: 0.692905 
[0/25][8659/14432] Training Loss: 0.826450 
[0/25][8660/14432] Training Loss: 0.661467 
[0/25][8661/14432] Training Loss: 0.713018 
[0/25][8662/14432] Training Loss: 0.671664 
[0/25][8663/14432] Training Loss: 0.796347 
[0/25][8664/14432] Training Loss: 0.655667 
[0/25][8665/14432] Training Loss: 1.084064 
[0/25][8666/14432] Training Loss: 0.850083 
[0/25][8667/14432] Training Loss: 0.610079 
[0/25][8668/14432] Training Loss: 0.650743 
[0/25][8669/14432] Training Loss: 0.764700 
[0/25][8670/14432] Training Loss: 0.617866 
[0/25][8671/14432] Training Loss: 0.994553 
[0/25][8672/14432] Training Loss: 0.599511 
[0/25][8673/14432] Training Loss: 0.783252 
[0/25][8674/14432] Training Loss: 0.756515 
[0/25][8675/14432] Training Loss: 0.731091 
[0/25][8676/14432] Training Loss: 0.941921 
[0/25][8677/14432] Training Loss: 0.697586 
[0/25][8678/14432] Training Loss: 0.747224 
[0/25][8679/14432] Training Loss: 0.566136 
[0/25][8680/14432] Training Loss: 0.961593 
[0/25][8681/14432] Training Loss: 0.563048 
[0/25][8682/14432] Training Loss: 0.783583 
[0/25][8683/14432] Training Loss: 0.613891 
[0/25][8684/14432] Training Loss: 0.912672 
[0/25][8685/14432] Training Loss: 0.657157 
[0/25][8686/14432] Training Loss: 0.781524 
[0/25][8687/14432] Training Loss: 0.881041 
[0/25][8688/14432] Training Loss: 0.610950 
[0/25][8689/14432] Training Loss: 0.760015 
[0/25][8690/14432] Training Loss: 0.808827 
[0/25][8691/14432] Training Loss: 0.830395 
[0/25][8692/14432] Training Loss: 0.785520 
[0/25][8693/14432] Training Loss: 0.689800 
[0/25][8694/14432] Training Loss: 0.548491 
[0/25][8695/14432] Training Loss: 0.762852 
[0/25][8696/14432] Training Loss: 0.770483 
[0/25][8697/14432] Training Loss: 0.806494 
[0/25][8698/14432] Training Loss: 0.695320 
[0/25][8699/14432] Training Loss: 0.703263 
[0/25][8700/14432] Training Loss: 0.543294 
[0/25][8701/14432] Training Loss: 0.745127 
[0/25][8702/14432] Training Loss: 0.715845 
[0/25][8703/14432] Training Loss: 0.574953 
[0/25][8704/14432] Training Loss: 0.799228 
[0/25][8705/14432] Training Loss: 0.838580 
[0/25][8706/14432] Training Loss: 0.824487 
[0/25][8707/14432] Training Loss: 0.816717 
[0/25][8708/14432] Training Loss: 0.827173 
[0/25][8709/14432] Training Loss: 0.927091 
[0/25][8710/14432] Training Loss: 0.822879 
[0/25][8711/14432] Training Loss: 0.845740 
[0/25][8712/14432] Training Loss: 0.748022 
[0/25][8713/14432] Training Loss: 0.764795 
[0/25][8714/14432] Training Loss: 0.733323 
[0/25][8715/14432] Training Loss: 0.786144 
[0/25][8716/14432] Training Loss: 0.683843 
[0/25][8717/14432] Training Loss: 0.682066 
[0/25][8718/14432] Training Loss: 0.667624 
[0/25][8719/14432] Training Loss: 0.815683 
[0/25][8720/14432] Training Loss: 0.870887 
[0/25][8721/14432] Training Loss: 0.609958 
[0/25][8722/14432] Training Loss: 0.867789 
[0/25][8723/14432] Training Loss: 0.655189 
[0/25][8724/14432] Training Loss: 0.817023 
[0/25][8725/14432] Training Loss: 0.754614 
[0/25][8726/14432] Training Loss: 0.732883 
[0/25][8727/14432] Training Loss: 0.614172 
[0/25][8728/14432] Training Loss: 0.737620 
[0/25][8729/14432] Training Loss: 0.742967 
[0/25][8730/14432] Training Loss: 0.959367 
[0/25][8731/14432] Training Loss: 0.760785 
[0/25][8732/14432] Training Loss: 0.673732 
[0/25][8733/14432] Training Loss: 0.641164 
[0/25][8734/14432] Training Loss: 0.733640 
[0/25][8735/14432] Training Loss: 0.696363 
[0/25][8736/14432] Training Loss: 0.868977 
[0/25][8737/14432] Training Loss: 0.709192 
[0/25][8738/14432] Training Loss: 0.724285 
[0/25][8739/14432] Training Loss: 0.581496 
[0/25][8740/14432] Training Loss: 0.576187 
[0/25][8741/14432] Training Loss: 0.696682 
[0/25][8742/14432] Training Loss: 0.676465 
[0/25][8743/14432] Training Loss: 0.893131 
[0/25][8744/14432] Training Loss: 0.775308 
[0/25][8745/14432] Training Loss: 0.739879 
[0/25][8746/14432] Training Loss: 0.617919 
[0/25][8747/14432] Training Loss: 0.792628 
[0/25][8748/14432] Training Loss: 0.797865 
[0/25][8749/14432] Training Loss: 0.781284 
[0/25][8750/14432] Training Loss: 0.746310 
[0/25][8751/14432] Training Loss: 0.829497 
[0/25][8752/14432] Training Loss: 0.607693 
[0/25][8753/14432] Training Loss: 0.643861 
[0/25][8754/14432] Training Loss: 0.792323 
[0/25][8755/14432] Training Loss: 0.754129 
[0/25][8756/14432] Training Loss: 0.647011 
[0/25][8757/14432] Training Loss: 0.987653 
[0/25][8758/14432] Training Loss: 0.623855 
[0/25][8759/14432] Training Loss: 0.835826 
[0/25][8760/14432] Training Loss: 0.696448 
[0/25][8761/14432] Training Loss: 0.573582 
[0/25][8762/14432] Training Loss: 0.611037 
[0/25][8763/14432] Training Loss: 0.596547 
[0/25][8764/14432] Training Loss: 0.780031 
[0/25][8765/14432] Training Loss: 0.650748 
[0/25][8766/14432] Training Loss: 0.843811 
[0/25][8767/14432] Training Loss: 0.840561 
[0/25][8768/14432] Training Loss: 0.971698 
[0/25][8769/14432] Training Loss: 0.920569 
[0/25][8770/14432] Training Loss: 0.673558 
[0/25][8771/14432] Training Loss: 0.867817 
[0/25][8772/14432] Training Loss: 0.749910 
[0/25][8773/14432] Training Loss: 0.585669 
[0/25][8774/14432] Training Loss: 0.817932 
[0/25][8775/14432] Training Loss: 0.744343 
[0/25][8776/14432] Training Loss: 0.874540 
[0/25][8777/14432] Training Loss: 0.791885 
[0/25][8778/14432] Training Loss: 0.773761 
[0/25][8779/14432] Training Loss: 0.851914 
[0/25][8780/14432] Training Loss: 0.956465 
[0/25][8781/14432] Training Loss: 0.586602 
[0/25][8782/14432] Training Loss: 0.796793 
[0/25][8783/14432] Training Loss: 0.678014 
[0/25][8784/14432] Training Loss: 0.696135 
[0/25][8785/14432] Training Loss: 0.642677 
[0/25][8786/14432] Training Loss: 0.672013 
[0/25][8787/14432] Training Loss: 0.670933 
[0/25][8788/14432] Training Loss: 0.888985 
[0/25][8789/14432] Training Loss: 0.701380 
[0/25][8790/14432] Training Loss: 0.743842 
[0/25][8791/14432] Training Loss: 0.772287 
[0/25][8792/14432] Training Loss: 0.923605 
[0/25][8793/14432] Training Loss: 0.967312 
[0/25][8794/14432] Training Loss: 0.687053 
[0/25][8795/14432] Training Loss: 0.696537 
[0/25][8796/14432] Training Loss: 0.896049 
[0/25][8797/14432] Training Loss: 0.897034 
[0/25][8798/14432] Training Loss: 0.816881 
[0/25][8799/14432] Training Loss: 0.699357 
[0/25][8800/14432] Training Loss: 0.719739 
[0/25][8801/14432] Training Loss: 0.648327 
[0/25][8802/14432] Training Loss: 0.720213 
[0/25][8803/14432] Training Loss: 0.776680 
[0/25][8804/14432] Training Loss: 0.961021 
[0/25][8805/14432] Training Loss: 0.691133 
[0/25][8806/14432] Training Loss: 0.690655 
[0/25][8807/14432] Training Loss: 0.709051 
[0/25][8808/14432] Training Loss: 0.703428 
[0/25][8809/14432] Training Loss: 0.783660 
[0/25][8810/14432] Training Loss: 0.650153 
[0/25][8811/14432] Training Loss: 0.856361 
[0/25][8812/14432] Training Loss: 0.738641 
[0/25][8813/14432] Training Loss: 0.753989 
[0/25][8814/14432] Training Loss: 0.855841 
[0/25][8815/14432] Training Loss: 0.666296 
[0/25][8816/14432] Training Loss: 0.720999 
[0/25][8817/14432] Training Loss: 0.736901 
[0/25][8818/14432] Training Loss: 0.527426 
[0/25][8819/14432] Training Loss: 0.668803 
[0/25][8820/14432] Training Loss: 0.825225 
[0/25][8821/14432] Training Loss: 0.878567 
[0/25][8822/14432] Training Loss: 0.817230 
[0/25][8823/14432] Training Loss: 0.794166 
[0/25][8824/14432] Training Loss: 0.714293 
[0/25][8825/14432] Training Loss: 0.513215 
[0/25][8826/14432] Training Loss: 0.693986 
[0/25][8827/14432] Training Loss: 0.747652 
[0/25][8828/14432] Training Loss: 0.820927 
[0/25][8829/14432] Training Loss: 0.901219 
[0/25][8830/14432] Training Loss: 0.765173 
[0/25][8831/14432] Training Loss: 0.740170 
[0/25][8832/14432] Training Loss: 0.650051 
[0/25][8833/14432] Training Loss: 0.887552 
[0/25][8834/14432] Training Loss: 0.627675 
[0/25][8835/14432] Training Loss: 0.877880 
[0/25][8836/14432] Training Loss: 0.791647 
[0/25][8837/14432] Training Loss: 0.669194 
[0/25][8838/14432] Training Loss: 0.736170 
[0/25][8839/14432] Training Loss: 0.733869 
[0/25][8840/14432] Training Loss: 0.765365 
[0/25][8841/14432] Training Loss: 0.833456 
[0/25][8842/14432] Training Loss: 0.673520 
[0/25][8843/14432] Training Loss: 0.885846 
[0/25][8844/14432] Training Loss: 0.906741 
[0/25][8845/14432] Training Loss: 0.770331 
[0/25][8846/14432] Training Loss: 0.710894 
[0/25][8847/14432] Training Loss: 0.770161 
[0/25][8848/14432] Training Loss: 0.806463 
[0/25][8849/14432] Training Loss: 0.723169 
[0/25][8850/14432] Training Loss: 0.585129 
[0/25][8851/14432] Training Loss: 0.659318 
[0/25][8852/14432] Training Loss: 0.713978 
[0/25][8853/14432] Training Loss: 0.878439 
[0/25][8854/14432] Training Loss: 0.763873 
[0/25][8855/14432] Training Loss: 0.909923 
[0/25][8856/14432] Training Loss: 0.864194 
[0/25][8857/14432] Training Loss: 0.703961 
[0/25][8858/14432] Training Loss: 0.815078 
[0/25][8859/14432] Training Loss: 1.005669 
[0/25][8860/14432] Training Loss: 0.670600 
[0/25][8861/14432] Training Loss: 0.525458 
[0/25][8862/14432] Training Loss: 0.679072 
[0/25][8863/14432] Training Loss: 1.088584 
[0/25][8864/14432] Training Loss: 0.707365 
[0/25][8865/14432] Training Loss: 0.567529 
[0/25][8866/14432] Training Loss: 0.572984 
[0/25][8867/14432] Training Loss: 0.829188 
[0/25][8868/14432] Training Loss: 0.707409 
[0/25][8869/14432] Training Loss: 0.778999 
[0/25][8870/14432] Training Loss: 0.838921 
[0/25][8871/14432] Training Loss: 0.816066 
[0/25][8872/14432] Training Loss: 0.709970 
[0/25][8873/14432] Training Loss: 0.737987 
[0/25][8874/14432] Training Loss: 0.742806 
[0/25][8875/14432] Training Loss: 0.784539 
[0/25][8876/14432] Training Loss: 0.775486 
[0/25][8877/14432] Training Loss: 0.786824 
[0/25][8878/14432] Training Loss: 0.794442 
[0/25][8879/14432] Training Loss: 0.620880 
[0/25][8880/14432] Training Loss: 0.681650 
[0/25][8881/14432] Training Loss: 0.885254 
[0/25][8882/14432] Training Loss: 0.701291 
[0/25][8883/14432] Training Loss: 0.673685 
[0/25][8884/14432] Training Loss: 0.690064 
[0/25][8885/14432] Training Loss: 0.629733 
[0/25][8886/14432] Training Loss: 0.631827 
[0/25][8887/14432] Training Loss: 0.920993 
[0/25][8888/14432] Training Loss: 0.601706 
[0/25][8889/14432] Training Loss: 0.729528 
[0/25][8890/14432] Training Loss: 0.677803 
[0/25][8891/14432] Training Loss: 0.758138 
[0/25][8892/14432] Training Loss: 0.847289 
[0/25][8893/14432] Training Loss: 0.825796 
[0/25][8894/14432] Training Loss: 0.696621 
[0/25][8895/14432] Training Loss: 0.801614 
[0/25][8896/14432] Training Loss: 0.643530 
[0/25][8897/14432] Training Loss: 0.657632 
[0/25][8898/14432] Training Loss: 0.840801 
[0/25][8899/14432] Training Loss: 0.856210 
[0/25][8900/14432] Training Loss: 0.799630 
[0/25][8901/14432] Training Loss: 0.787491 
[0/25][8902/14432] Training Loss: 0.733090 
[0/25][8903/14432] Training Loss: 0.653154 
[0/25][8904/14432] Training Loss: 0.667591 
[0/25][8905/14432] Training Loss: 0.766336 
[0/25][8906/14432] Training Loss: 0.885258 
[0/25][8907/14432] Training Loss: 0.793461 
[0/25][8908/14432] Training Loss: 0.642337 
[0/25][8909/14432] Training Loss: 0.712421 
[0/25][8910/14432] Training Loss: 0.755734 
[0/25][8911/14432] Training Loss: 0.886362 
[0/25][8912/14432] Training Loss: 0.687744 
[0/25][8913/14432] Training Loss: 0.745435 
[0/25][8914/14432] Training Loss: 0.507259 
[0/25][8915/14432] Training Loss: 0.604868 
[0/25][8916/14432] Training Loss: 0.848788 
[0/25][8917/14432] Training Loss: 0.705476 
[0/25][8918/14432] Training Loss: 0.763218 
[0/25][8919/14432] Training Loss: 0.841132 
[0/25][8920/14432] Training Loss: 0.639894 
[0/25][8921/14432] Training Loss: 0.803902 
[0/25][8922/14432] Training Loss: 0.699544 
[0/25][8923/14432] Training Loss: 0.613751 
[0/25][8924/14432] Training Loss: 0.650249 
[0/25][8925/14432] Training Loss: 0.641559 
[0/25][8926/14432] Training Loss: 0.658079 
[0/25][8927/14432] Training Loss: 0.577243 
[0/25][8928/14432] Training Loss: 0.913652 
[0/25][8929/14432] Training Loss: 0.706027 
[0/25][8930/14432] Training Loss: 0.729146 
[0/25][8931/14432] Training Loss: 0.663173 
[0/25][8932/14432] Training Loss: 0.752167 
[0/25][8933/14432] Training Loss: 0.849642 
[0/25][8934/14432] Training Loss: 0.647633 
[0/25][8935/14432] Training Loss: 0.714949 
[0/25][8936/14432] Training Loss: 0.597087 
[0/25][8937/14432] Training Loss: 0.759569 
[0/25][8938/14432] Training Loss: 0.690576 
[0/25][8939/14432] Training Loss: 0.844166 
[0/25][8940/14432] Training Loss: 0.659551 
[0/25][8941/14432] Training Loss: 0.725843 
[0/25][8942/14432] Training Loss: 0.876639 
[0/25][8943/14432] Training Loss: 0.703669 
[0/25][8944/14432] Training Loss: 0.641838 
[0/25][8945/14432] Training Loss: 0.611151 
[0/25][8946/14432] Training Loss: 0.672256 
[0/25][8947/14432] Training Loss: 0.828929 
[0/25][8948/14432] Training Loss: 0.834097 
[0/25][8949/14432] Training Loss: 0.676284 
[0/25][8950/14432] Training Loss: 0.652906 
[0/25][8951/14432] Training Loss: 0.985398 
[0/25][8952/14432] Training Loss: 0.592232 
[0/25][8953/14432] Training Loss: 0.685812 
[0/25][8954/14432] Training Loss: 0.777819 
[0/25][8955/14432] Training Loss: 0.746553 
[0/25][8956/14432] Training Loss: 0.796229 
[0/25][8957/14432] Training Loss: 0.738546 
[0/25][8958/14432] Training Loss: 0.665009 
[0/25][8959/14432] Training Loss: 0.828034 
[0/25][8960/14432] Training Loss: 0.757211 
[0/25][8961/14432] Training Loss: 0.599710 
[0/25][8962/14432] Training Loss: 0.721737 
[0/25][8963/14432] Training Loss: 0.695863 
[0/25][8964/14432] Training Loss: 0.925881 
[0/25][8965/14432] Training Loss: 0.711784 
[0/25][8966/14432] Training Loss: 0.884799 
[0/25][8967/14432] Training Loss: 0.737613 
[0/25][8968/14432] Training Loss: 0.643889 
[0/25][8969/14432] Training Loss: 0.778457 
[0/25][8970/14432] Training Loss: 0.693732 
[0/25][8971/14432] Training Loss: 0.714011 
[0/25][8972/14432] Training Loss: 0.763556 
[0/25][8973/14432] Training Loss: 0.718595 
[0/25][8974/14432] Training Loss: 0.849333 
[0/25][8975/14432] Training Loss: 0.746621 
[0/25][8976/14432] Training Loss: 0.729930 
[0/25][8977/14432] Training Loss: 0.678254 
[0/25][8978/14432] Training Loss: 0.559938 
[0/25][8979/14432] Training Loss: 0.741592 
[0/25][8980/14432] Training Loss: 0.684121 
[0/25][8981/14432] Training Loss: 0.747134 
[0/25][8982/14432] Training Loss: 0.501918 
[0/25][8983/14432] Training Loss: 0.773227 
[0/25][8984/14432] Training Loss: 0.840335 
[0/25][8985/14432] Training Loss: 0.880328 
[0/25][8986/14432] Training Loss: 0.731123 
[0/25][8987/14432] Training Loss: 0.646635 
[0/25][8988/14432] Training Loss: 0.881408 
[0/25][8989/14432] Training Loss: 0.737285 
[0/25][8990/14432] Training Loss: 0.622864 
[0/25][8991/14432] Training Loss: 0.661106 
[0/25][8992/14432] Training Loss: 0.668884 
[0/25][8993/14432] Training Loss: 0.649483 
[0/25][8994/14432] Training Loss: 0.831675 
[0/25][8995/14432] Training Loss: 0.771105 
[0/25][8996/14432] Training Loss: 0.798193 
[0/25][8997/14432] Training Loss: 0.811896 
[0/25][8998/14432] Training Loss: 0.786057 
[0/25][8999/14432] Training Loss: 0.734204 
[0/25][9000/14432] Training Loss: 0.940089 
[0/25][9001/14432] Training Loss: 0.763559 
[0/25][9002/14432] Training Loss: 0.749617 
[0/25][9003/14432] Training Loss: 0.858364 
[0/25][9004/14432] Training Loss: 0.845046 
[0/25][9005/14432] Training Loss: 0.693496 
[0/25][9006/14432] Training Loss: 0.629970 
[0/25][9007/14432] Training Loss: 0.719660 
[0/25][9008/14432] Training Loss: 0.661893 
[0/25][9009/14432] Training Loss: 0.760614 
[0/25][9010/14432] Training Loss: 0.722173 
[0/25][9011/14432] Training Loss: 0.643920 
[0/25][9012/14432] Training Loss: 0.800995 
[0/25][9013/14432] Training Loss: 0.588242 
[0/25][9014/14432] Training Loss: 0.904493 
[0/25][9015/14432] Training Loss: 0.599557 
[0/25][9016/14432] Training Loss: 0.554434 
[0/25][9017/14432] Training Loss: 1.086877 
[0/25][9018/14432] Training Loss: 0.711560 
[0/25][9019/14432] Training Loss: 0.680705 
[0/25][9020/14432] Training Loss: 0.560099 
[0/25][9021/14432] Training Loss: 0.863757 
[0/25][9022/14432] Training Loss: 0.733906 
[0/25][9023/14432] Training Loss: 0.794864 
[0/25][9024/14432] Training Loss: 0.759439 
[0/25][9025/14432] Training Loss: 0.727945 
[0/25][9026/14432] Training Loss: 0.796788 
[0/25][9027/14432] Training Loss: 0.758809 
[0/25][9028/14432] Training Loss: 0.750502 
[0/25][9029/14432] Training Loss: 0.692105 
[0/25][9030/14432] Training Loss: 0.757681 
[0/25][9031/14432] Training Loss: 0.813520 
[0/25][9032/14432] Training Loss: 0.753131 
[0/25][9033/14432] Training Loss: 0.764569 
[0/25][9034/14432] Training Loss: 0.807785 
[0/25][9035/14432] Training Loss: 0.620252 
[0/25][9036/14432] Training Loss: 0.915579 
[0/25][9037/14432] Training Loss: 0.678041 
[0/25][9038/14432] Training Loss: 0.783392 
[0/25][9039/14432] Training Loss: 0.640581 
[0/25][9040/14432] Training Loss: 0.664143 
[0/25][9041/14432] Training Loss: 0.761317 
[0/25][9042/14432] Training Loss: 0.729816 
[0/25][9043/14432] Training Loss: 0.580197 
[0/25][9044/14432] Training Loss: 0.827309 
[0/25][9045/14432] Training Loss: 0.772694 
[0/25][9046/14432] Training Loss: 0.618620 
[0/25][9047/14432] Training Loss: 0.725128 
[0/25][9048/14432] Training Loss: 0.807163 
[0/25][9049/14432] Training Loss: 0.704895 
[0/25][9050/14432] Training Loss: 0.649607 
[0/25][9051/14432] Training Loss: 0.708226 
[0/25][9052/14432] Training Loss: 0.657658 
[0/25][9053/14432] Training Loss: 0.973653 
[0/25][9054/14432] Training Loss: 0.843918 
[0/25][9055/14432] Training Loss: 0.654371 
[0/25][9056/14432] Training Loss: 0.882249 
[0/25][9057/14432] Training Loss: 0.951423 
[0/25][9058/14432] Training Loss: 0.654143 
[0/25][9059/14432] Training Loss: 0.792554 
[0/25][9060/14432] Training Loss: 0.801041 
[0/25][9061/14432] Training Loss: 0.670567 
[0/25][9062/14432] Training Loss: 0.719225 
[0/25][9063/14432] Training Loss: 0.871926 
[0/25][9064/14432] Training Loss: 0.740897 
[0/25][9065/14432] Training Loss: 0.685984 
[0/25][9066/14432] Training Loss: 0.607620 
[0/25][9067/14432] Training Loss: 0.709610 
[0/25][9068/14432] Training Loss: 0.660860 
[0/25][9069/14432] Training Loss: 0.861868 
[0/25][9070/14432] Training Loss: 0.755363 
[0/25][9071/14432] Training Loss: 0.884064 
[0/25][9072/14432] Training Loss: 0.723392 
[0/25][9073/14432] Training Loss: 0.720192 
[0/25][9074/14432] Training Loss: 0.782454 
[0/25][9075/14432] Training Loss: 0.672184 
